"title","description","propertyType","price","dateSold","landSize","suburb","postCode","latitude","longitude","bedrooms","bathrooms","parkingSpaces","outdoorFeatures","indoorFeatures","totalFeatures"
"Family Luxury On A Grand Scale","Impressive from first glance, appealing to the final detail, this exceptional home conveys a spectacular sense of space throughout a flowing floorplan designed to meet every modern family need in style and quality built with attention to detail. Enviably situated in a quiet, tree-lined cul-de-sac off Union Road perfect for families to enjoy the local amenities and City skyline glimpses.<br/><br/>A wide frontage and landscaped gardens combined with a façade of Daniel Robertson bricks creates an ideal introduction to grand downstairs dimensions featuring a tiled hallway leading to a formal sitting and dining room, a downstairs bathroom, separate study and a large laundry. A downstairs bedroom contributes flexibility to four upstairs bedrooms all with built in robes, including a generous main with a spa bath ensuite alongside a family bathroom with a spa bath and a spacious retreat. A vast north-facing family living and dining domain incorporating a superbly appointed kitchen equipped with granite bench tops, island bench, Smeg, Whirlpool and Dishlex appliances. Flows to a wide tiled outdoor dining and entertaining area overlooking a deep rear garden lined with ornamental trees providing loads of space for family games plus a solar heated pool and undercover dining areas. Other comprehensive appointments include full-width front and rear upstairs balconies, an alarm, ducted heating, evaporative cooling and vacuum, R/C air conditioner and Rinnai Energy Saver wall heater (family room), wall heaters (upstairs bedrooms), pristine bathrooms, gas available for pool connection, rear utilities storage; plus an auto gate opening to a remote double garage with secure internal access and rear access to a carport.<br/><br/>This very desirable residence combines its outstanding family accommodation with its proximity to Surrey Gardens, Surrey Hills Village shops and cafes, an array of sought after public and private schools. Plus public transport options including the new Union Station are just minutes away - whilst Maling Road is also only moments away.","house","$3,815,000","2025-09-13","829.0","Surrey Hills","3127","-37.828001","145.097549","5","3","3.0","2","1","3"
"A Dream to Call Home","At the end of a quiet court in a secluded village style complex, so secluded that longtime residents of the area would be excused for not even knowing of its existence, this appealing 4 bedroom townhouse oozes charm and sophistication with a decidedly European flavour.<br/><br/>Immaculately maintained and presented by its current owners, with as-new carpets and plantation shutters, and freshly painted inside and out. This enviable home in the Balwyn High School Zone celebrates the low maintenance living desired by modern families, busy professionals and discerning downsizers.<br/> <br/>Lifestyle is the key consideration of the functional floorplan with a spacious living room, an open kitchen/meals/family area and a separate dining space which is currently in use as a cosy spot for a glass of wine, a good book or entertaining the besties.<br/><br/>The family living space opens out to the sandstone paved alfresco terrace, a magical setting under a vine covered pergola for dining or partying surrounded by artistically designed gardens complete with a water feature, glasshouse and vegie/herb garden. <br/><br/>On the upper level, with sweeping views and natural light, each of the 4 bedrooms has a WIR, including one bedroom fitted out as a study. Two further bedrooms share the use of a full bathroom. The sumptuous main bedroom enjoys a large WIR and double vanity spa ensuite.<br/><br/>Walk to local shops, Boroondara Sports Complex and bus services to Camberwell Station, CBD, Box Hill and Westfield Doncaster. Close to Balwyn High, Balwyn North Primary, Whitehorse Rd shops and tram, plus numerous parks and sporting reserves.<br/><br/>* Magnificent granite island kitchen bench<br/>* Kitchen coffee station and kitchen study nook<br/>* Ground level powder room<br/>* Surprise storage room<br/>* Ducted heating and split system reverse cycle air-conditioners<br/>* Large auto double garage with internal entry<br/><br/>Terms: 10% deposit, balance 90/120 days<br/><br/><br/>","house","$2,446,000","2025-09-13","339.0","Balwyn","3103","-37.804014","145.081627","4","2","2.0","2","5","7"
"GENEROUS 725m2 ALLOTMENT WITH PREFERRED NORTH/WEST FACING REAR FEATURING 3 BEDROOM FAMILY PERIOD HOME","*No Heritage Overlay*<br/><br/>This substantial Camberwell allotment with a wide frontage and appealing three bedroom Californian Bungalow style family residence represents a wonderful opportunity to renovate a radiant period classic or build your own forever home (STCA) on this level allotment with sunbathed north/western rear orientation in this highly coveted location.<br/><br/>The residence provides for both formal and open plan living spaces. Featuring large rooms including living room and separate dining, master bedroom with full ensuite and WIR, super-sized family kitchen flooded with north facing light overlooking the casual dining area and expansive family room, two further bedrooms with main central bathroom plus separate laundry with external access complete the abundance of family accommodation on offer. The expansive north west facing rear garden is perfect for entertaining and sports and also includes large dual carport, storage shed and cute freestanding cubbyhouse/play room. Features ducted heating and cooling plus split system in master bedroom, BIRs and more.<br/><br/>Located In a premier Through Road position near parklands and easy walk to local schools including Hartwell and St. Dominic’s primary, Hartwell Station, city trams, bus and Village Shopping. An immediate family home of enjoyment, quality and potential with future possibilities to further take advantage of this generous allotment.<br/><br/>This is an exciting opportunity for both immediate owner occupiers, renovators/builders and those searching for the perfect new home site.<br/><br/><br/>Land Size 725m2 approx","house","$2,160,000","2025-09-13","725.0","Camberwell","3124","-37.841144","145.092189","3","2","2.0","3","9","12"
"Modern Family Excellence In Quiet Cul-de-sac Setting","Peacefully positioned in an exclusive cul-de-sac setting, this impressive dual-level residence displays an unwavering commitment to quality, space and luxury, with a focus on family living. <br/><br/>A contemporary palette evokes an immediate sense of style throughout zoned interiors, with spacious formal and casual living and dining areas separated by a streamlined kitchen, appointed with stone surfaces, high-end AEG appliances and breakfast bench. Moving outdoors, a huge deck and good-size garden create the perfect environment to relax and entertain.<br/><br/>Impressive accommodation is further enhanced on the upper-level by 4 robed bedrooms, including a sumptuous master suite featuring a parent retreat, his/hers BIRs and luxe twin ensuite. In addition, families will appreciate lifestyle comforts including ducted heating and cooling, powder room, home office and double garage.<br/><br/>Located for convenience, close to leading schools (including PLC), shopping precincts, Deakin University, trams and Gardiners Creek Reserve and walking trail.","house","$1,692,000","2025-09-13","473.0","Burwood","3125","-37.85818083","145.10919105","5","2","2.0","1","0","1"
"Classic Family Home Drenched in Charm","Set in a desirable area of Burwood, this gorgeous family residence showcases a sophisticated interior, manicured gardens, and an elegant kitchen, all located within walking distance from shops, cafes, transport, and the Presbyterian Ladies College.<br/><br/>As you approach the home, you will immediately feel at ease with its classic red brick exterior and immaculate gardens. Head inside to the main living area where the open plan layout is perfectly designed for relaxation and comfort.<br/><br/>There is plenty of room for the whole family in the lounge which has stunning timber flooring, a study nook, and is flooded with natural light. The elegant marble kitchen is the heart of the home and is both stylish and practical allowing for magic memories to be made.<br/><br/>Offering a fantastic indoor outdoor flow, the living and dining zone extends out beautifully to the expansive covered alfresco area and backyard where you can relax amongst established gardens in all weather conditions.<br/><br/>All three bedrooms are a generous size while the master bedroom is a true retreat with a walk-in robe and a private ensuite. Delightful details throughout the home such as high ceilings, natural tones, and classic features really enhance the sense of charm. Perfectly located in a quiet, leafy street while Melbourne's CBD is only around a half an hour away, this beautiful home offers an incredible family lifestyle.","house","$1,625,000","2025-09-13","438.0","Burwood","3125","-37.848369","145.098845","3","2","2.0","1","0","1"
"Period beauty meets modern comfort","THE PROPERTY <br/>Brimming with character and freshly rejuvenated for modern living, this solid brick two-bedroom home radiates warmth, charm, and timeless appeal. Beyond its inviting façade, the spacious front yard and long driveway set the tone for a private, peaceful lifestyle. Inside, sleek timber floors lead through light-filled spaces, beginning with a beautiful front living zone boasting leafy outlooks, a statement fireplace, soaring ceilings with ornate detailing, and elegant pendant lighting. The adjoining formal dining room mirrors these period features, creating a graceful space for entertaining. A generously proportioned main bedroom is positioned at the front, while the second bedroom offers built-in robes. The kitchen and meals area is both functional and inviting, with a gas cooktop, oven, and ample storage. The central bathroom blends heritage style with practicality, featuring checkered flooring, a shower over bath, vanity, and separate toilet, alongside a dedicated laundry. Outdoors, a decked porch flows to the lush backyard with manicured gardens, expansive lawn, secure fencing, and a single lock-up garage, offering a serene retreat with room to grow.<br/><br/>THE FEATURES  <br/>• Period charm with original ceiling roses, cornices & high ceilings<br/>• Stunning front living with fireplace & garden outlook<br/>• Formal dining room with heritage detailing<br/>• Sleek timber flooring throughout living zones<br/>• Two generous bedrooms, main at the front, second with BIR<br/>• Well-appointed kitchen with gas cooktop & oven<br/>• Central bathroom with checkered tiles & separate toilet<br/>• Expansive backyard with deck, lawn & secure fencing<br/><br/>Watch the auction live here: https://heavyside.co/live-auction<br/><br/>THE LOCATION <br/>Perfectly positioned in a highly desirable Surrey Hills pocket, the home is zoned to both Chatham Primary School and Canterbury Girls' Secondary College, ensuring exceptional education options. Stroll to Chatham station, local cafés, and parklands, including nearby Canterbury Gardens and South Surrey Park. Enjoy easy access to Maling Road Village for boutique shopping, with major supermarkets, trams, and arterials all within close reach, placing convenience and lifestyle at your doorstep.<br/><br/>THE TERMS: 30|45|60","house","$1,280,000","2025-09-13","","Surrey Hills","3127","-37.818206","145.093722","2","1","1.0","3","1","4"
"Spacious Family Home in Prime Box Hill Location","Ideally positioned in the heart of Box Hill, this beautifully maintained residence offers the perfect blend of space, comfort, and convenience.<br/><br/>Featuring a generous open-plan living and dining area, the home is anchored by a large, functional kitchen - ideal for family living and entertaining. A separate laundry and powder room provides added practicality, and the downstairs study offers flexibility, easily serving as a fourth bedroom.<br/><br/>Upstairs, the master bedroom is a true retreat with its own en-suite and walk-in robe. Two additional bedrooms are generously sized and share a centrally located main bathroom, perfect for families.<br/><br/>Enjoy a low-maintenance backyard, ideal for relaxing or entertaining with minimal upkeep.<br/><br/>All this in a sought-after central location, just moments from schools, transport, shopping, and parklands. This is an excellent opportunity for families or investors seeking value and versatility.","townhouse","$1,150,000","2025-09-13","","Box Hill","3128","-37.82174491","145.11706079","4","2","2.0","4","2","6"
"Contemporary Parkside Townhouse in Prime Burwood Location","Set across three beautifully designed levels, this exceptional four-bedroom plus two study areas. three-bathroom townhouse offers an inspired blend of modern design, generous proportions, and effortless functionality. Perfectly positioned in one of Burwood’s most sought-after pockets, just moments from Burwood Village and the prestigious Presbyterian Ladies’ College, this stylish parkside sanctuary is ideal for buyers seeking space, comfort, and long-term value in a location that continues to evolve.<br/><br/>From the moment you step inside, the quality is unmistakable. Warm floors welcome you into the light-filled ground floor, where open-plan living and dining flows seamlessly into a sleek, stone-appointed kitchen. With abundant bench space, stainless steel appliances, and direct access to a sunny north-facing deck, this culinary space is perfect for both entertaining and everyday living. The deck also features a secure gate offering direct access to the lush parkland beyond, enhancing the home’s connection to its natural surroundings and providing an exceptional lifestyle advantage.<br/><br/>Upstairs, the first floor is home to a generous second living zone that enjoys glorious northern light and opens out to a private balcony with sweeping views of the adjoining parklands. This level also features the two impressive guest bedrooms complete with an oversized built-in robe. On the top floor, two master bedroom with its own walk-in robe and ensuite, plus an impressive storage area. Both floors contain a large, versatile study or home office facing the park - ideal for remote work, creative pursuits, or quiet study time.<br/><br/>The home also includes a low-maintenance garden, a guest powder room, European laundry, garden shed, and an internally accessible double garage, delivering everything needed for relaxed, low-maintenance living.<br/><br/>Beyond the home’s impressive interior and thoughtful layout, the location is truly what sets it apart. Positioned right beside Local History Park and moments from the Gardiners Creek Trail, residents will enjoy the rare balance of tranquility and convenience. Nearby amenities such as Deakin University, Parkhill Primary School, Ashwood High School, and a variety of shopping and dining options along Warrigal Road ensure every lifestyle need is catered for.<br/><br/>Importantly, this location is set to become even more desirable with the new Burwood Train Station currently under construction. Once complete, this major infrastructure project will transform local transport, offering unprecedented convenience for commuters and adding significant future value to the area. For buyers with an eye on long-term growth, the coming transport hub represents an outstanding opportunity to invest in a suburb on the rise.","townhouse","$1,082,000","2025-09-13","","Burwood","3125","-37.8525712","145.10896353","4","3","2.0","1","1","2"
"Prime Burwood Opportunity with Wide Frontage and North-Facing Backyard","Offering exceptional potential in one of Burwood’s most sought-after locations, this property is set on a generous block featuring a wide frontage and a sun-drenched north-facing backyard, providing an ideal setting for both indoor and outdoor living. The spacious layout and versatile outdoor areas create a comfortable and flexible environment suited to a variety of lifestyles and future plans.<br/><br/>This four-bedroom plus study house features a functional kitchen and bright living areas, offering plenty of space for family living and entertaining. The home presents an excellent opportunity to personalise and enhance according to your vision.<br/><br/>Located just minutes from Deakin University and within walking distance to both Wattle Park Primary and the prestigious Presbyterian Ladies’ College, this area is highly desirable for families seeking quality education options. The property is also close to major retail destinations including Chadstone Shopping Centre, Burwood Brickworks Shopping Centre, and Burwood Village, ensuring everyday shopping, dining, and entertainment needs are easily met.<br/><br/>Surrounded by local parklands including Wattle Park and the scenic Gardiners Creek trail, residents can enjoy leafy surrounds, recreational activities, and peaceful walking or cycling routes just moments from their doorstep. With excellent public transport options and easy access to medical facilities nearby, commuting and daily living are effortless. The upcoming Suburban Rail Loop (SRL) development will introduce a new station nearby, improving connectivity across Melbourne and enhancing the long-term growth prospects of the area.<br/><br/>Combining a prime position with generous land, wide frontage, and a sunny north-facing backyard, this property represents a rare opportunity to secure a foothold in one of Melbourne’s most sought-after suburbs.<br/><br/>*Please Note* Buxton Real Estate may refuse to provide further information about the property should you prefer not to disclose your Full Contact Details including Phone Number. Photo id required upon entering the property.","house","$1,500,000","2025-09-11","595.0","Burwood","3125","-37.844915","145.107002","4","1","3.0","2","0","2"
"Near-New, Custom-Designed Residence in Tree-Lined Camberwell Pocket","THE PROPERTY<br/>This custom designed 4-bedroom, 3-bathroom residence is the epitome of modern family luxury in a peaceful tree-lined Camberwell pocket. Offering high ceilings, premium finishes and zoned family flexibility across two levels, it delivers refined interiors and effortless indoor-outdoor flow. A gourmet kitchen forms the heart of the open-plan domain, complete with Caesar-stone benchtops, suite of Miele appliances including dual ovens, spacious butlers' pantry and extensive cabinetry. The living and dining area connects seamlessly via dual sliding doors to the rear alfresco, manicured lawn and in-ground pool, perfect for entertaining. A second living space with an adjoining full bathroom offers further versatility. Upstairs, four spacious bedrooms are all fitted with built-in robes, including a luxurious master suite with elevated views, walk-in robe and designer ensuite featuring a large walk-in shower and his & hers sinks. The central, fully tiled bathroom also showcases a relaxing bath and sleek finishes. A concealed study at the front of the home is perfect for remote work, tucked behind folding cabinetry. Ducted heating, refrigerated cooling, high-end window furnishings throughout, and engineered timber floors further enhance year-round comfort. The home also features a remote lock-up garage with internal access, laundry with linen press and custom lighting along the floating staircase for added ambience.<br/><br/>THE FEATURES <br/>• Custom-designed home in a premium locale<br/>• Gourmet Caesar-stone kitchen with Miele appliances and butlers' pantry<br/>• Expansive open-plan living flowing to poolside alfresco <br/>• Master bedroom with WIR and ensuite <br/>• Central bathroom with bath and floor-to-ceiling tiles<br/>• Second living zone with adjoining full bathroom and external access<br/>• Ducted heating, refrigerated cooling and premium blinds throughout<br/>• Single remote garage with internal access and extra storage/workbench space<br/> <br/>THE LOCATION<br/>Perfectly positioned in one of Camberwell's convenient and family-friendly locations within easy reach of Lynden Park, Highfield Park and Wattle Park. Zoned for Hartwell Primary and Camberwell High School, with access to some of Melbourne's most prestigious private schools. Close to Camberwell Junction, Toorak Road cafés, and Burwood Village shopping with nearby trams, trains, and easy access to Riversdale Rd and Warrigal Rd.<br/><br/>THE TERMS: 30|45|60","house","$2,080,000","2025-09-10","340.0","Camberwell","3124","-37.839263","145.082396","4","3","2.0","3","3","6"
